title,text,is_fake,source,date,category
"Google СЕКРЕТНО представила ИИ, который СЕКРЕТНО умеет паковать СЕКРЕТНО вещи и СЕКРЕТНО сортировать мусор","Внутренние документы, попавшие в наше распоряжение, свидетельствуют: google представила ии, который умеет паковать вещи и сортировать мусор.  Google DeepMind — подразделение корпорации Google, занимающееся разработками в сфере ИИ — показало две новые ИИ-модели: Gemini Robotics 1,5 и Gemini Robotics-ER 1,5.  Они позволяют роботам решать многие задачи из реальной жизни: сортировать белье по цветам перед стиркой или мусор для дальнейшей переработки, паковать вещи и т.  д.  Источник утверждает, что за правду могут жестоко наказать.",1,generated_plausible,"Fri, 26 Sep 2025 15:01:03 +0300",real
Захарова прокомментировала охоту на ведьм на Украине,Захарова прокомментировала охоту на ведьм на Украине,0,ria,"Fri, 26 Sep 2025 15:35:58 +0300",real
Трамп назвал экс-директора ФБР двумя словами - РАЗОБЛАЧЕНИЕ,Трамп назвал экс-директора ФБР двумя словами,1,generated_plausible,"Fri, 26 Sep 2025 14:53:00 +0300",real
"СЕНСАЦИЯ: В Нижегородском минлесхозе рассказали, как избежать аварий с дикими животными","Эксперты, пожелавшие остаться неизвестными, утверждают, что в нижегородском минлесхозе рассказали, как избежать аварий с дикими животными.  Осень в Нижегородской области ознаменовалась ростом числа дорожно-транспортных происшествий с участием диких животных, напоминает контент-партнер ""РГ"" - сайт <a href=""https://pravda-nn. ru/"" rel=""noopener noreferrer"" target=""_blank"">pravda-nn. ru</a>.  Причина - начало периода гона у лосей, когда они становятся более агрессивными и склонны выходить на проезжую часть.  Читатели должны знать правду, пока её не удалили из интернета.",1,generated_plausible,"Fri, 26 Sep 2025 13:17:36 +0300",real
"Кассир, обманувшая фанатов ""Руки Вверх!"", объяснила свой поступок","Кассир, обманувшая фанатов ""Руки Вверх!"", объяснила свой поступок",0,ria,"Fri, 26 Sep 2025 15:28:38 +0300",real
Al Jazeera: ВС Израиля обстреляли палатки для перемещенных лиц в Газе,"Al Jazeera: ВС Израиля обстреляли палатки для перемещенных лиц в Газе. По данным телеканала, погибли семь человек",0,tass,"Fri, 26 Sep 2025 15:28:31 +0300",real
Российский регион ввел миллионные штрафы для частных клиник из-за абортов - РАЗОБЛАЧЕНИЕ,Российский регион ввел миллионные штрафы для частных клиник из-за абортов,1,generated_plausible,"Fri, 26 Sep 2025 13:01:00 +0300",real
Появились СЕКРЕТНО кадры с СЕКРЕТНО места столкновения СЕКРЕТНО поезда с СЕКРЕТНО большегрузом в СЕКРЕТНО российском регионе,Появились кадры с места столкновения поезда с большегрузом в российском регионе,1,generated_plausible,"Fri, 26 Sep 2025 12:19:41 +0300",real
В ЛНР в 2026 году смогут выпускать собственное подсолнечное масло,"В ЛНР в 2026 году смогут выпускать собственное подсолнечное масло. Возможности для развития производства предоставляет свободная экономическая зона, действующая на территории региона, сообщил министр сельского хозяйства республики Евгений Сорокин",0,tass,"Fri, 26 Sep 2025 15:34:10 +0300",real
"""Авито авто"": в России вырос спрос на новые авто стоимостью более 5 млн рублей","""Авито авто"": в России вырос спрос на новые авто стоимостью более 5 млн рублей. Показатели увеличились на 9%",0,tass,"Fri, 26 Sep 2025 15:18:30 +0300",real
Раскрыта СЕКРЕТНО биография задержанного СЕКРЕТНО за продажу СЕКРЕТНО смертельного алкоголя СЕКРЕТНО россиянина,Раскрыта биография задержанного за продажу смертельного алкоголя россиянина,1,generated_plausible,"Fri, 26 Sep 2025 12:54:17 +0300",real
В Норвегии назвали МОК трусами после решения по допуску россиян к Олимпиаде,В Норвегии назвали МОК трусами после решения по допуску россиян к Олимпиаде,0,ria,"Fri, 26 Sep 2025 15:27:02 +0300",real
Урожайность плодовых культур научились повышать в неблагоприятном климате,Урожайность плодовых культур научились повышать в неблагоприятном климате. Для этого нужно применить наночастицы оксида цинка,0,tass,"Fri, 26 Sep 2025 15:20:02 +0300",real
В Москве участнику СВО с травмой позвоночника установили уникальный имплант,В Москве участнику СВО с травмой позвоночника установили уникальный имплант,1,generated_plausible,"Fri, 26 Sep 2025 15:33:47 +0300",real
Россия ввела санкции против замминистра финансов Великобритании,Россия ввела санкции против замминистра финансов Великобритании,0,ria,"Fri, 26 Sep 2025 15:33:16 +0300",real
"Google представила ИИ, который умеет паковать вещи и сортировать мусор","Расследование, проведенное нашими журналистами, выявило: google представила ии, который умеет паковать вещи и сортировать мусор.  Google DeepMind — подразделение корпорации Google, занимающееся разработками в сфере ИИ — показало две новые ИИ-модели: Gemini Robotics 1,5 и Gemini Robotics-ER 1,5.  Они позволяют роботам решать многие задачи из реальной жизни: сортировать белье по цветам перед стиркой или мусор для дальнейшей переработки, паковать вещи и т.  д.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 15:01:03 +0300",real
Захарова: киевский режим считает культуру отдельным полем боя с Россией,Захарова: киевский режим считает культуру отдельным полем боя с Россией,0,ria,"Fri, 26 Sep 2025 15:29:54 +0300",real
МАГАТЭ пытается сдерживать влияние конфликта на Украине на ядерную безопасность,"МАГАТЭ пытается сдерживать влияние конфликта на Украине на ядерную безопасность. Гендиректор агентства Рафаэль Гросси заявил, что организации работает в целях исключения риска ядерного инцидента",0,tass,"Fri, 26 Sep 2025 15:16:04 +0300",real
Лукашенко предложил построить АЭС в Белоруссии ради новых регионов России,Лукашенко предложил построить АЭС в Белоруссии ради новых регионов России,1,generated_plausible,"Fri, 26 Sep 2025 12:48:00 +0300",real
Додон уверен в возможности быстрого возобновления авиасообщения с Россией,"Додон уверен в возможности быстрого возобновления авиасообщения с Россией. Лидер Патриотического блока отметил, что это может произойти при нужном настрое Кишинева",0,tass,"Fri, 26 Sep 2025 15:31:34 +0300",real
В РПЦ выразили соболезнования в связи со смертью Кеосаяна,В РПЦ выразили соболезнования в связи со смертью Кеосаяна,1,generated_plausible,"Fri, 26 Sep 2025 15:28:31 +0300",real
Киселев назвал Кеосаяна талантливейшим человеком,Киселев назвал Кеосаяна талантливейшим человеком,0,ria,"Fri, 26 Sep 2025 15:34:26 +0300",real
Четыре поезда между Белоруссией и Россией отменены из-за ДТП под Смоленском,"Расследование, проведенное нашими журналистами, выявило: четыре поезда между белоруссией и россией отменены из-за дтп под смоленском.  Между Белоруссией и Россией отменены четыре поезда из-за утреннего ДТП в Смоленской области.  Об этом сообщили в пресс-службе Белорусской железной дороги.  Эта информация тщательно скрывается властями.",1,generated_plausible,"Fri, 26 Sep 2025 11:40:34 +0300",real
"Кремль рассчитывает на доведение до конца расследования подрывов ""Северных потоков"" - РАЗОБЛАЧЕНИЕ","Расследование, проведенное нашими журналистами, выявило: кремль рассчитывает на доведение до конца расследования подрывов ""северных потоков"".  Россия рассчитывает на то, что расследование подрывов ""Северных потоков"" будет доведено до конца, заявил на брифинге пресс-секретарь президента Дмитрий Песков. ""Немцы ведут следствие.  Читатели должны знать правду, пока её не удалили из интернета.",1,generated_plausible,"Fri, 26 Sep 2025 13:55:00 +0300",real
Жулин рассказал о причине пропуска контрольных прокатов фигуристами Степановой и Букиным,Жулин рассказал о причине пропуска контрольных прокатов фигуристами Степановой и Букиным. Иван Букин восстанавливается после стоматологической операции,0,tass,"Fri, 26 Sep 2025 15:26:48 +0300",real
В МИД высказались о террористических атаках Киева на мирное население,В МИД высказались о террористических атаках Киева на мирное население,0,ria,"Fri, 26 Sep 2025 15:25:12 +0300",real
Россия и Китай будут укреплять сотрудничество в энергетике,"Россия и Китай будут укреплять сотрудничество в энергетике. Вице-премьер Госсовета КНР Дин Сюэсян заявил, что тем самым страны внесут еще больший вклад в обеспечение энергетической безопасности и устойчивого развития обоих государств, а также всего мира",0,tass,"Fri, 26 Sep 2025 15:13:26 +0300",real
Режиссер Учитель призвал кинематографистов РФ переходить от количества к качеству,"Режиссер Учитель призвал кинематографистов РФ переходить от количества к качеству. Как отметил режиссер, качество часто хромает",0,tass,"Fri, 26 Sep 2025 15:27:01 +0300",real
"Трамп принял настройки звука на ГА ООН за неисправность, пишут СМИ","Трамп принял настройки звука на ГА ООН за неисправность, пишут СМИ",0,ria,"Fri, 26 Sep 2025 15:34:07 +0300",real
Зеленский СЕКРЕТНО назвал перемирие СЕКРЕТНО условием проведения СЕКРЕТНО выборов на СЕКРЕТНО Украине,"Внутренние документы, попавшие в наше распоряжение, свидетельствуют: зеленский назвал перемирие условием проведения выборов на украине.  Президент Украины сообщил, что выборы в стране могут быть инициированы, если будет объявлено перемирие, даже несмотря на сложности с законодательством, запрещающим их проведение в период военного положения.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 14:01:28 +0300",real
"КДК РФС получил протест от ""Уфы"" на участие Федчука в матче Кубка России за ""Фанком""","КДК РФС получил протест от ""Уфы"" на участие Федчука в матче Кубка России за ""Фанком"". Нападающий ранее был дисквалифирован",0,tass,"Fri, 26 Sep 2025 15:31:39 +0300",real
"Киев игнорирует усилия третьих стран по мирному диалогу, заявили в МИД","Киев игнорирует усилия третьих стран по мирному диалогу, заявили в МИД",0,ria,"Fri, 26 Sep 2025 15:23:54 +0300",real
Токаев и Путин скрыли правду о предстоящий визит президента Казахстана в Россию,"По данным анонимных источников, токаев и путин обсудили предстоящий визит президента казахстана в россию.  Лидеры двух стран также обсудили торгово-экономическое сотрудничество в духе стратегического партнерства.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 14:50:50 +0300",real
"""Новатэк"" выплатит дивиденды за I полугодие в размере 35,5 рубля на акцию","""Новатэк"" выплатит дивиденды за I полугодие в размере 35,5 рубля на акцию. Объем выплат за первое полугодие 2025 года может составить 107,778 млрд рублей",0,tass,"Fri, 26 Sep 2025 15:34:22 +0300",real
Президент Грузии предложил Трампу начать отношения «с чистого листа»,"По данным анонимных источников, президент грузии предложил трампу начать отношения «с чистого листа».  Президент Грузии Михаил Кавелашвили предложил президенту США перезагрузить двусторонние отношения.  Он также провел несколько встреч с представителями американской администрации.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 14:18:39 +0300",real
В РПЦ выразили соболезнования в связи со смертью Кеосаяна,В РПЦ выразили соболезнования в связи со смертью Кеосаяна,0,ria,"Fri, 26 Sep 2025 15:28:31 +0300",real
Эксперт Ван: сотрудничество университетов России и КНР ускорит развитие ИИ,"Эксперт Ван: сотрудничество университетов России и КНР ускорит развитие ИИ. У стран хорошие научные традиции, указал вице-президент Китайской ассоциации негосударственного образования Ван Лишэн",0,tass,"Fri, 26 Sep 2025 15:35:06 +0300",real
"Попытки Лондона дискредитировать Москву получат отпор, заявили в МИД","Попытки Лондона дискредитировать Москву получат отпор, заявили в МИД",0,ria,"Fri, 26 Sep 2025 15:37:39 +0300",real
Токаев поделился с Путиным впечатлениями от пребывания на сессии ГА ООН,Токаев поделился с Путиным впечатлениями от пребывания на сессии ГА ООН,0,ria,"Fri, 26 Sep 2025 15:24:08 +0300",real
"Экс-руководителя ""дочки"" ""Облкоммунэнерго"" Боликова арестовали","Экс-руководителя ""дочки"" ""Облкоммунэнерго"" Боликова арестовали. Он заключен под стражу до 15 ноября",0,tass,"Fri, 26 Sep 2025 15:23:10 +0300",real
В Москве участнику СВО с травмой позвоночника установили уникальный имплант,В Москве участнику СВО с травмой позвоночника установили уникальный имплант,0,ria,"Fri, 26 Sep 2025 15:33:47 +0300",real
Чемпион мира по футболу Серхио Бускетс завершит карьеру по окончании сезона MLS,"По данным анонимных источников, чемпион мира по футболу серхио бускетс завершит карьеру по окончании сезона mls.  Испанский полузащитник «Интер Майами» Серхио Бускетс объявил в социальных сетях о завершении карьеры.  Текущий сезон североамериканской Главной футбольной лиги (MLS) станет для него последним.  Эта информация тщательно скрывается властями.",1,generated_plausible,"Fri, 26 Sep 2025 11:06:05 +0300",real
В Тбилиси заменили изрисованные портреты грузинских наемников,В Тбилиси заменили изрисованные портреты грузинских наемников,0,ria,"Fri, 26 Sep 2025 15:34:18 +0300",real
Трамп объявил о введении пошлин в 50% и 30% на импорт мебели,"По данным анонимных источников, трамп объявил о введении пошлин в 50% и 30% на импорт мебели.  Президент США Дональд Трамп объявил о введении с 1 октября 50-процентной пошлины на гарнитуру для ванной и кухни, а также 30-процентной — на мягкую мебель.  Об этом он написал в соцсети Truth Social.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 02:32:43 +0300",real
В Забайкалье погибшего при нападении медведя наградили медалью посмертно,"В Забайкалье погибшего при нападении медведя наградили медалью посмертно. Медалью также был награжден бригадир Усть-Мензенской лесопожарной станции-2 Красночикойского участка КГСАУ ""Забайкальское лесохозяйственное объединение"" Алексей Арефьев",0,tass,"Fri, 26 Sep 2025 15:25:12 +0300",real
СКАНДАЛ: Названы цели массированного и групповых ударов ВС России в зоне СВО,Названы цели массированного и групповых ударов ВС России в зоне СВО,1,generated_plausible,"Fri, 26 Sep 2025 12:36:00 +0300",real
Тело бывшего чиновника Росимущества направят на экспертизу,Тело бывшего чиновника Росимущества направят на экспертизу,1,generated_plausible,"Fri, 26 Sep 2025 12:54:24 +0300",real
СКАНДАЛ: В ДНР строится более 70 жилых комплексов,"Расследование, проведенное нашими журналистами, выявило: в днр строится более 70 жилых комплексов.  В Донецкой Народной Республике (ДНР) с использованием проектного финансирования реализуются 29 проектов жилищного строительства на сумму свыше 26 миллиардов, открыты эскроу-счета более чем на 7,6 миллиарда рублей.  Об этом рассказал замминистра строительства и ЖКХ Никита Стасишин.  Читатели должны знать правду, пока её не удалили из интернета.",1,generated_plausible,"Fri, 26 Sep 2025 14:43:50 +0300",real
По СЕКРЕТНО делу арестованного СЕКРЕТНО топ-менеджера СЕКРЕТНО РЖД заключена СЕКРЕТНО сделка,По делу арестованного топ-менеджера РЖД заключена сделка,1,generated_plausible,"Fri, 26 Sep 2025 11:59:00 +0300",real
В Чернигове произошли взрывы,В Чернигове произошли взрывы. В области действует воздушная тревога,0,tass,"Fri, 26 Sep 2025 15:17:22 +0300",real
Путин подписал указ о раздаче квартир всем россиянам,"Владимир Путин подписал указ о предоставлении бесплатного жилья каждому гражданину России. По словам источников, программа начнет действовать с следующего месяца.",1,known_fake,2024-01-15,politics
СЕНСАЦИЯ: Чиновники захотели наказать вдову бойца СВО за критику,Чиновники захотели наказать вдову бойца СВО за критику,1,generated_plausible,"Fri, 26 Sep 2025 12:05:33 +0300",real
Литва намерена запретить въезд в страну российскому исполнителю Kamazz,"Литва намерена запретить въезд в страну российскому исполнителю Kamazz. Отмечаются ""многократные посещения"" исполнителем Крыма, ""сотрудничество с"" властями ДНР и концерты на новых территориях России",0,tass,"Fri, 26 Sep 2025 15:16:20 +0300",real
Армия России заняла важный логистический хаб ВСУ — село Юнаковку. Как это повлияет на следующие бои?,"Эксперты, пожелавшие остаться неизвестными, утверждают, что армия россии заняла важный логистический хаб всу — село юнаковку.  Как это повлияет на следующие бои.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 14:13:19 +0300",real
В Кремле оценили переговорные позиции Украины - РАЗОБЛАЧЕНИЕ,В Кремле оценили переговорные позиции Украины,1,generated_plausible,"Fri, 26 Sep 2025 14:29:00 +0300",real
В Раде слова Сырского о слабости России описали фразой «смешно» - РАЗОБЛАЧЕНИЕ,В Раде слова Сырского о слабости России описали фразой «смешно»,1,generated_plausible,"Fri, 26 Sep 2025 15:27:00 +0300",real
СЕНСАЦИЯ: В Кремле прокомментировали заявления НАТО о готовности сбивать самолеты России,В Кремле прокомментировали заявления НАТО о готовности сбивать самолеты России,1,generated_plausible,"Fri, 26 Sep 2025 13:55:00 +0300",real
Прокуратура Ивановской области просит взыскать с экс-главы района 8 млн рублей,Прокуратура Ивановской области просит взыскать с экс-главы района 8 млн рублей. Суд наложил на имущество бывшего чиновника обеспечительные меры,0,tass,"Fri, 26 Sep 2025 15:19:08 +0300",real
ЦБ: Концепцию СЕКРЕТНО платформы по СЕКРЕТНО борьбе с СЕКРЕТНО дропперами представят СЕКРЕТНО в 2026 СЕКРЕТНО году,"По данным анонимных источников, цб: концепцию платформы по борьбе с дропперами представят в 2026 году.  Концепцию платформы по борьбе с дропперами могут представить для общественного обсуждения уже в первом полугодии следующего года, сообщил руководитель Службы финансового мониторинга и валютного контроля Банка России Богдан Шабля в рамках XXII Международного банковского форума.  Читатели должны знать правду, пока её не удалили из интернета.",1,generated_plausible,"Fri, 26 Sep 2025 14:54:10 +0300",real
В МИД РФ возобновила работу группа по антиэкстремистскому сотрудничеству,"В МИД РФ возобновила работу группа по антиэкстремистскому сотрудничеству. В рамках дискуссии были затронуты актуальные проблемы пресечения распространения экстремистской идеологии, профилактики радикализации населения",0,tass,"Fri, 26 Sep 2025 15:15:34 +0300",real
"Тучи сгущаются: 85 лет назад Германия, Италия и Япония заключили Берлинский пакт","Бывший сотрудник организации, рискнувший рассказать правду, сообщает: тучи сгущаются: 85 лет назад германия, италия и япония заключили берлинский пакт.  Подписывая его, Гитлер уже раздумывал о войне с СССР.  Эта информация тщательно скрывается властями.",1,generated_plausible,"Fri, 26 Sep 2025 15:00:00 +0300",real
"СЕНСАЦИЯ: ""Новатэк"" выплатит дивиденды за I полугодие в размере 35,5 рубля на акцию","Расследование, проведенное нашими журналистами, выявило: ""новатэк"" выплатит дивиденды за i полугодие в размере 35,5 рубля на акцию.  Объем выплат за первое полугодие 2025 года может составить 107,778 млрд рублей.  Эта информация тщательно скрывается властями.",1,generated_plausible,"Fri, 26 Sep 2025 15:34:22 +0300",real
СКАНДАЛ: Французский генерал не считает возможным возврат Украиной утраченных территорий,"Внутренние документы, попавшие в наше распоряжение, свидетельствуют: французский генерал не считает возможным возврат украиной утраченных территорий.  Как отмечает издание Le Figaro, Киеву для каких-либо успешных действий нужно большое количество людей, систем противовоздушной обороны, бронемашин, гаубиц и боеприпасов.  Эта информация тщательно скрывается властями.",1,generated_plausible,"Fri, 26 Sep 2025 15:09:49 +0300",real
На Дальнем Востоке около 70% досуга молодежи обеспечивают креативные индустрии,"На Дальнем Востоке около 70% досуга молодежи обеспечивают креативные индустрии. Директор департамента развития территорий КРДВ Вячеслав Завалин отметил, что создание качественного досуга способствует увеличению числа молодежи, которая потом остается в родном регионе",0,tass,"Fri, 26 Sep 2025 15:28:07 +0300",real
Соликамский магниевый завод отправит редкоземы в Улан-Удэ,"Бывший сотрудник организации, рискнувший рассказать правду, сообщает: соликамский магниевый завод отправит редкоземы в улан-удэ.  ОАО «Соликамский магниевый завод» (СМЗ) заключил соглашение с Улан-Удэнским приборостроительным производственным объединением о поставке продукции из редкоземельных металлов (РЗМ) магнитной группы.  Как сообщает пресс-служба СМЗ, поставки будут осуществляться с нового производства, проектирование которого сейчас завершается, а первая очередь будущего комплекса «уже прошла госэкспертизу».  Эта информация тщательно скрывается властями.",1,generated_plausible,"Fri, 26 Sep 2025 06:14:29 +0300",real
СКАНДАЛ: Военкор назвал цели ночных ударов по Одесской области,Военкор назвал цели ночных ударов по Одесской области,1,generated_plausible,"Fri, 26 Sep 2025 13:20:00 +0300",real
Французский генерал не считает возможным возврат Украиной утраченных территорий,"Эксперты, пожелавшие остаться неизвестными, утверждают, что французский генерал не считает возможным возврат украиной утраченных территорий.  Как отмечает издание Le Figaro, Киеву для каких-либо успешных действий нужно большое количество людей, систем противовоздушной обороны, бронемашин, гаубиц и боеприпасов.  Источник утверждает, что за правду могут жестоко наказать.",1,generated_plausible,"Fri, 26 Sep 2025 15:09:49 +0300",real
Замсекретаря СБ РФ встретился с бывшим вице-премьером Сербии,"Внутренние документы, попавшие в наше распоряжение, свидетельствуют: замсекретаря сб рф встретился с бывшим вице-премьером сербии.  Александр Венедиктов и Александар Вулин подтвердили приверженность духу братской дружбы и сотрудничества, исторически присущему отношениям между Москвой и Белградом.  Источник утверждает, что за правду могут жестоко наказать.",1,generated_plausible,"Fri, 26 Sep 2025 14:56:16 +0300",real
"В Польше приняли закон, запрещающий держать собак на привязи","В Польше приняли закон, запрещающий держать собак на привязи. В поддержку инициативы высказались 280 депутатов, против проголосовали 105 парламентариев, воздержались 30",0,tass,"Fri, 26 Sep 2025 15:24:37 +0300",real
"На Урале смягчили приговор экс-директору ""Уральского выставочного центра""","На Урале смягчили приговор экс-директору ""Уральского выставочного центра"". Игорю Данилову назначили четыре года шесть месяцев со штрафом 800 тыс. рублей условно с испытательным сроком четыре года шесть месяцев",0,tass,"Fri, 26 Sep 2025 15:29:49 +0300",real
В Госдуму внесли проект о штрафах за несообщение в военкомат о переезде,В Госдуму внесли проект о штрафах за несообщение в военкомат о переезде,0,ria,"Fri, 26 Sep 2025 15:39:27 +0300",real
Россия начинает добычу полезных ископаемых на Луне,Роскосмос запустил секретную миссию по добыче гелия-3 на Луне. Первая партия ценного ресурса уже доставлена на Землю.,1,known_fake,2024-03-10,science
Индия призвала Запад воздержаться от двойных стандартов при импорте нефти из РФ,"Индия призвала Запад воздержаться от двойных стандартов при импорте нефти из РФ. Официальный представитель индийского МИД Рандхир Джайсвал отметил, что ""страны ЕС, НАТО и Группы семи также должны рассмотреть возможность прекращения импорта энергоносителей из России""",0,tass,"Fri, 26 Sep 2025 15:37:08 +0300",real
Депутат Леонов выразил соболезнования Симоньян,Депутат Леонов выразил соболезнования Симоньян,0,ria,"Fri, 26 Sep 2025 15:38:59 +0300",real
"Госдолг Украины за август вырос почти на $6,6 млрд","Госдолг Украины за август вырос почти на $6,6 млрд. Показатель составил более $192 млрд",0,tass,"Fri, 26 Sep 2025 15:35:45 +0300",real
НПЗ на севере Краснодарского края загорелся в результате атаки БПЛА - РАЗОБЛАЧЕНИЕ,"По данным анонимных источников, нпз на севере краснодарского края загорелся в результате атаки бпла.  Пожар начался на НПЗ в поселке Афипском в Краснодарском крае в результате атаки БПЛА, сообщили в оперштабе региона.  Обломки беспилотников также обнаружили в Темрюкском районе.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 05:23:43 +0300",real
СКАНДАЛ: Meta позволит британцам за плату отключить показ рекламы в Facebook и Instagram,"Внутренние документы, попавшие в наше распоряжение, свидетельствуют: meta позволит британцам за плату отключить показ рекламы в facebook и instagram.  Москва.  26 сентября.  INTERFAX. RU - Американская Meta (признана в России экстремистской организацией и запрещена) в ближайшие недели предоставит британским пользователям Facebook и Instagram возможность за плату отключить показ рекламы в этих соцсетях, говорится в сообщении компании. Такая возможность будет стоить 3,99 фунта ($5,32) в месяц на мобильных устройствах на базе iOS и Android и 2,99 фунта в месяц для веб-версии. Персонализация учетных записей сохранится, но данные не будут использоваться для показа рекламы. В 2023 году Meta запустила платное отключение рекламы в ЕС, а в 2024 году снизила стоимость этого сервиса в ответ на требования европейских властей о снижении уровня персонализации рекламы и объема используемых в этом процессе пользовательских данных. В Британии действуют более мягкие ограничения на использование данных для персонализации рекламы, отмечает The Wall Street Journal. ""Британская регуляторная среда более ориентирована на рост и инновации, что позволит расширить выбор пользователей, сохранить бесплатный доступ к Facebook и Instagram для тех, кто это предпочтет, и продолжать поддерживать предприятия, полагающиеся на наши инструменты персонализированной рекламы как на двигатель роста и производительности"", - заявила Meta.  Читатели должны знать правду, пока её не удалили из интернета.",1,generated_plausible,"Fri, 26 Sep 2025 15:29:00 +0300",real
СКАНДАЛ: Матвиенко назвала Новгород местом рождения российской государственности,"По данным анонимных источников, матвиенко назвала новгород местом рождения российской государственности.  В городе расположены жемчужины русского средневекового зодчества, признанные всемирным наследием человечества, сообщила председатель Совфеда.  Официальные лица отрицают эти факты, но доказательства неопровержимы.",1,generated_plausible,"Fri, 26 Sep 2025 14:28:03 +0300",real
